freq,age,indic_he,unit,sex,icd10,geo,time,value
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,SI,2017,108.7
A,TOTAL,INPAT,P_HTHAB,T,A00-A08,SK,2017,179.5
A,TOTAL,INPAT,P_HTHAB,T,A09,AT,2017,158.0
A,TOTAL,INPAT,P_HTHAB,T,A09,BE,2017,31.6
A,TOTAL,INPAT,P_HTHAB,T,A09,BG,2017,0.3
A,TOTAL,INPAT,P_HTHAB,T,A09,CH,2017,67.9
A,TOTAL,INPAT,P_HTHAB,T,A09,CY,2017,149.0
A,TOTAL,INPAT,P_HTHAB,T,A09,CZ,2017,70.5
A,TOTAL,INPAT,P_HTHAB,T,A09,DE,2017,179.9
A,TOTAL,INPAT,P_HTHAB,T,A09,ES,2017,18.0
A,TOTAL,INPAT,P_HTHAB,T,A09,FI,2017,108.1
A,TOTAL,INPAT,P_HTHAB,T,A09,FR,2017,85.6
A,TOTAL,INPAT,P_HTHAB,T,A09,HR,2017,28.5
A,TOTAL,INPAT,P_HTHAB,T,A09,HU,2017,12.1
A,TOTAL,INPAT,P_HTHAB,T,A09,IE,2017,111.9
A,TOTAL,INPAT,P_HTHAB,T,A09,IS,2017,28.2
A,TOTAL,INPAT,P_HTHAB,T,A09,IT,2017,20.0
A,TOTAL,INPAT,P_HTHAB,T,A09,LI,2017,55.3
A,TOTAL,INPAT,P_HTHAB,T,A09,LT,2017,62.7
A,TOTAL,INPAT,P_HTHAB,T,A09,LV,2017,64.4
A,TOTAL,INPAT,P_HTHAB,T,A09,ME,2017,104.9
A,TOTAL,INPAT,P_HTHAB,T,A09,MT,2017,4.7
A,TOTAL,INPAT,P_HTHAB,T,A09,NL,2017,38.5
A,TOTAL,INPAT,P_HTHAB,T,A09,NO,2017,59.4
A,TOTAL,INPAT,P_HTHAB,T,A09,PL,2017,75.9
A,TOTAL,INPAT,P_HTHAB,T,A09,RO,2017,105.5
A,TOTAL,INPAT,P_HTHAB,T,A09,RS,2017,74.5
A,TOTAL,INPAT,P_HTHAB,T,A09,SE,2017,49.8
A,TOTAL,INPAT,P_HTHAB,T,A09,SI,2017,80.8
A,TOTAL,INPAT,P_HTHAB,T,A09,SK,2017,94.4
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,AT,2017,10.9
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,BE,2017,7.7
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,BG,2017,41.7
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,CH,2017,6.4
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,CY,2017,8.5
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,CZ,2017,6.8
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,DE,2017,9.7
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,ES,2017,7.2
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,FI,2017,6.4
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,FR,2017,9.0
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,HR,2017,13.9
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,HU,2017,7.1
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,IE,2017,4.6
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,IS,2017,0.9
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,IT,2017,9.2
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,LI,2017,0.0
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,LT,2017,57.5
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,LV,2017,94.0
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,ME,2017,14.5
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,MT,2017,8.5
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,NL,2017,2.6
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,NO,2017,7.9
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,PL,2017,17.5
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,RO,2017,159.2
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,RS,2017,15.7
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,SE,2017,4.6
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,SI,2017,5.9
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,SK,2017,15.2
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,AT,2017,61.7
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,BE,2017,120.4
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,BG,2017,0.7
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,CH,2017,101.5
