freq,age,indic_he,unit,sex,icd10,geo,time,value
A,TOTAL,INPAT,P_HTHAB,T,A09,CY,2021,91.7
A,TOTAL,INPAT,P_HTHAB,T,A09,CZ,2021,57.6
A,TOTAL,INPAT,P_HTHAB,T,A09,DE,2021,116.1
A,TOTAL,INPAT,P_HTHAB,T,A09,ES,2021,13.2
A,TOTAL,INPAT,P_HTHAB,T,A09,FI,2021,48.1
A,TOTAL,INPAT,P_HTHAB,T,A09,FR,2021,68.4
A,TOTAL,INPAT,P_HTHAB,T,A09,HR,2021,16.0
A,TOTAL,INPAT,P_HTHAB,T,A09,HU,2021,13.2
A,TOTAL,INPAT,P_HTHAB,T,A09,IE,2021,95.9
A,TOTAL,INPAT,P_HTHAB,T,A09,IT,2021,10.8
A,TOTAL,INPAT,P_HTHAB,T,A09,LI,2021,71.5
A,TOTAL,INPAT,P_HTHAB,T,A09,LT,2021,28.1
A,TOTAL,INPAT,P_HTHAB,T,A09,LV,2021,31.8
A,TOTAL,INPAT,P_HTHAB,T,A09,ME,2021,25.4
A,TOTAL,INPAT,P_HTHAB,T,A09,NL,2021,27.7
A,TOTAL,INPAT,P_HTHAB,T,A09,NO,2021,35.4
A,TOTAL,INPAT,P_HTHAB,T,A09,PL,2021,55.7
A,TOTAL,INPAT,P_HTHAB,T,A09,PT,2021,16.3
A,TOTAL,INPAT,P_HTHAB,T,A09,RO,2021,45.0
A,TOTAL,INPAT,P_HTHAB,T,A09,RS,2021,50.1
A,TOTAL,INPAT,P_HTHAB,T,A09,SE,2021,30.9
A,TOTAL,INPAT,P_HTHAB,T,A09,SI,2021,56.1
A,TOTAL,INPAT,P_HTHAB,T,A09,SK,2021,63.8
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,AT,2021,6.8
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,BE,2021,6.6
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,BG,2021,27.9
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,CH,2021,3.6
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,CY,2021,1.2
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,CZ,2021,4.7
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,DE,2021,6.6
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,ES,2021,5.9
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,FI,2021,4.0
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,FR,2021,6.9
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,HR,2021,5.6
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,HU,2021,2.5
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,IE,2021,2.9
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,IT,2021,5.3
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,LI,2021,2.6
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,LT,2021,27.0
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,LV,2021,35.8
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,ME,2021,11.0
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,NL,2021,2.1
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,NO,2021,2.7
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,PL,2021,11.0
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,PT,2021,8.0
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,RO,2021,63.2
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,RS,2021,8.1
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,SE,2021,3.0
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,SI,2021,5.0
A,TOTAL,INPAT,P_HTHAB,T,A15-A19_B90,SK,2021,7.1
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,AT,2021,56.1
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,BE,2021,108.6
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,BG,2021,0.4
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,CH,2021,128.1
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,CY,2021,90.9
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,CZ,2021,81.8
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,DE,2021,75.6
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,EE,2021,72.0
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,ES,2021,108.3
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,FI,2021,160.8
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,FR,2021,33.3
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,HR,2021,189.8
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,HU,2021,162.8
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,IE,2021,66.4
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,IT,2021,72.0
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,LI,2021,66.4
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,LT,2021,87.9
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,LV,2021,31.6
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,ME,2021,5.5
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,NL,2021,15.1
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,NO,2021,36.6
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,PL,2021,46.9
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,PT,2021,96.8
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,RO,2021,77.6
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,RS,2021,21.4
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,SE,2021,82.9
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,SI,2021,139.0
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,SK,2021,75.3
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,AT,2021,54.9
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,BE,2021,25.9
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,BG,2021,90.7
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,CH,2021,26.6
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,CY,2021,23.8
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,CZ,2021,67.1
